Title: Project Name,Blog Slug,Collections,Events,Funder(s),Initial Review of Data Complete,Notes/Comments re This Page Content (REVIEW ),Output: Project URL,Outputs,Outputs: Other,Project,Project Description (Internal Use),Project Description (Public),Project Partners,Project Status,Project Tag(s),Project Team,Related Blog,Resource,SBD www Status,SOW Project Dates,Slug (for SBD www),Team Directory,Topics,Who to Check Data
MAT2,,,,https://www.notion.so/3420d613e1304e67a2f4b8dd8c98005d,No,"Heuristic review of a metadata removal tool, with recommendations to improve the usability.",https://0xacab.org/jvoisin/mat2,MAT2 (https://www.notion.so/MAT2-5ca7ffb65d0740148a4f4e84f5644dfa?pvs=21),"https://discourse.opensourcedesign.net/t/jobs-improving-the-two-webpages-of-a-simple-web-interface-to-a-metadata-removal-tool/924,https://discourse.opensourcedesign.net/t/jobs-improving-the-two-webpages-of-a-simple-web-interface-to-a-metadata-removal-tool/924/12",OTF Usability Lab 1 | MAT2 Heuristic Review (https://www.notion.so/OTF-Usability-Lab-1-MAT2-Heuristic-Review-183f613f93694cdb88ffce9158c85fd3?pvs=21),"Undertook an expert review of mat2 (a meta data removal tool) ",,https://www.notion.so/485d5fca10d249259b14c26652221a40,complete,"https://www.notion.so/182f87b10ee6439f8bd19aa20b9aa1ed, https://www.notion.so/3ad7b6c3cabc44bd958be8a3051f7fe4, https://www.notion.so/3f8c19bb1bbd4fb582fad166a638bf45, https://www.notion.so/42469678a7ca4abd86c1146d33f34e81, https://www.notion.so/92f848c334854d41850a091a8129a828, https://www.notion.so/9654bbebc8664899b8b3ca26111d7452, https://www.notion.so/ac4eef262e9b456297eb5571e1afa995","eileen-wagner,ame-elliott,jan-dittrich",,,Publish,"February 5, 2019 → March 5, 2019",,"Eileen Wagner (https://www.notion.so/Eileen-Wagner-921112e822a74d7b99b7b81d82a5d40c?pvs=21), Ame Elliott (https://www.notion.so/Ame-Elliott-11293d3c60b44cf294907c80c1d930a1?pvs=21), Jan Dittrich (https://www.notion.so/Jan-Dittrich-3fc525179bd64612b94174c70d5c2f3c?pvs=21)",,
GlobaLeaks,,,,"https://www.notion.so/3420d613e1304e67a2f4b8dd8c98005d, https://www.notion.so/a46e112a852b4a33bda59b7fe6688d48, https://www.notion.so/d38ed19795e4451bb307c77440467a73",No,Dates taken from SOW timeline,,,,"OTF Usability Lab 1 | GlobaLeaks User Research, Testing & Visual Design (https://www.notion.so/OTF-Usability-Lab-1-GlobaLeaks-User-Research-Testing-Visual-Design-136d826bf59846dfa655aaea523d03f5?pvs=21)","We worked with GlobaLeaks to redesign its website to enable people from a variety of backgrounds to install, configure, and use GlobaLeaks without the help of trainers.",,,complete,"https://www.notion.so/2db342cbf5a04e859460740535a519d3, https://www.notion.so/3ad7b6c3cabc44bd958be8a3051f7fe4","molly-wilson,eileen-wagner,ngọc-triệu",,,Publish,"September 1, 2019 → December 31, 2019",,"Molly Wilson (https://www.notion.so/Molly-Wilson-4b79f4a65a504622a39ff40ff7f33782?pvs=21), Eileen Wagner (https://www.notion.so/Eileen-Wagner-921112e822a74d7b99b7b81d82a5d40c?pvs=21), ngọc triệu (https://www.notion.so/ng-c-tri-u-6ba0a27153c64c288cf4ad6b1d7005dd?pvs=21)",,
MOSS Impact Evaluation,,,,"https://www.notion.so/a325e032e0cd4af8932322935cf907ee, https://www.notion.so/d38ed19795e4451bb307c77440467a73",No,,,MOSS Impact Evaluation (2015-2020) Summary (https://www.notion.so/MOSS-Impact-Evaluation-2015-2020-Summary-edfbaa714a59418fa67e2817c65ed443?pvs=21),https://foundation.mozilla.org/en/what-we-fund/research/moss-program-impact-evaluation-2015-2020-summary/,Mozilla Foundation | MOSS Impact Evaluation (https://www.notion.so/Mozilla-Foundation-MOSS-Impact-Evaluation-d9a91542454f4fdc8f95169d98555ad2?pvs=21),Interview support to assess the impact of the MOSS program,,https://www.notion.so/90bce3f4caa64e46b1f462d146a5c5ea,complete,"https://www.notion.so/406c23736e1043679f06ee13e5f996d1, https://www.notion.so/486a3dd6f28d4fe18825f17da9130839","georgia-bullen,eileen-wagner,nicola-pratt,vanessa-rhinesmith",,,Publish,"October 30, 2020 → March 15, 2021",,"Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Eileen Wagner (https://www.notion.so/Eileen-Wagner-921112e822a74d7b99b7b81d82a5d40c?pvs=21), Nicola Pratt (https://www.notion.so/Nicola-Pratt-d462e9e2f80f4e44b0a24ed362c31f1a?pvs=21), Vanessa Rhinesmith (https://www.notion.so/Vanessa-Rhinesmith-19149ba5fc7e4db89ce854c295ea855d?pvs=21)",,Georgia Bullen
Connect Humanity,,,,https://www.notion.so/156573ad51ff80fa81cdc8ea33df204e,No,"Review dates - dates given are for work order date ie May 5, though kick off was May 11.  Project was delivered Dec 22, 2021 (following an extension to Nov 15, 2021)

Marked as a Current project but there’s an end date",,Connect Humanity Website (https://www.notion.so/Connect-Humanity-Website-06831c9e208a4047ac51e584140a75e3?pvs=21),https://connecthumanity.fund/,W&M Partners BV | Website (https://www.notion.so/W-M-Partners-BV-Website-371c7876c57a48faa374ca7fe3d4bb9e?pvs=21),We assisted Connect Humanity with delivering a high quality user experience on the new Connect Humanity website where Zitec allocated a dedicated team for website development and implementation,,https://www.notion.so/18381d3ce62740199905d7d049f2efb7,complete,,"melissa-huerta,kelsey-smith",,,Publish,"May 5, 2021 → December 22, 2021",,"Melissa Huerta (https://www.notion.so/Melissa-Huerta-33995d7c148943a380c061e82f9394fc?pvs=21), Kelsey Smith (https://www.notion.so/Kelsey-Smith-d374a3509f184ae8beaa75ecaba2f6e1?pvs=21)",,
Adobe UI Kit,,,,https://www.notion.so/d10c5b72f7494c6d930d017d03f5d82b,No,,http://blogs.adobe.com/creative/free-adobe-xd-ui-kit-private-file-sharing-that-priorities-security/,Adobe UI Kit (https://www.notion.so/Adobe-UI-Kit-fc3b5365bc864745b4ff08d1c0559225?pvs=21),"https://prod-files-secure.s3.us-west-2.amazonaws.com/1b957f05-5a02-47a7-b9a1-7d353f425deb/466d8cf9-1026-47d1-9999-27e518338cd0/AdobeUIKit.pdf,https://www.behance.net/gallery/66784311/Vault-UI-Kit-for-Adobe-XD ",Adobe | UI Kit (https://www.notion.so/Adobe-UI-Kit-5ba83d513b6a406d849df0de40953d1f?pvs=21),Creating standard patterns for designers.,,https://www.notion.so/da6da23c6e91489197b8a198f87e7d3c,complete,https://www.notion.so/3ad7b6c3cabc44bd958be8a3051f7fe4,"ame-elliott,sara-scout-sinclair-brody",,,Publish,"March 1, 2018 → June 30, 2018",,"Ame Elliott (https://www.notion.so/Ame-Elliott-11293d3c60b44cf294907c80c1d930a1?pvs=21), Sara “Scout” Sinclair Brody (https://www.notion.so/Sara-Scout-Sinclair-Brody-8b09b9ec2c054899bdfca97fd0d33548?pvs=21)",,
Measurement Lab (M-Lab),,,,"https://www.notion.so/3b852d38fffb46a6a8226883c65cbd79, https://www.notion.so/47d683f2cb0c4e45bfc97a4882dc1601",No,Dates taken from work order timeline,,,,CS&S | M-Lab 2020 Support (https://www.notion.so/CS-S-M-Lab-2020-Support-aca788f4dfb44c84a5d5c03e8dbd5603?pvs=21),"Support and advice on ILSR Mapping project,, Marconi Broadband Mapping project with UX/UI Research for Piecewise.  Support M-Lab Data Vis contract work",,https://www.notion.so/1f468602279a4c089bd22cb1098ebae6,complete,https://www.notion.so/c5a14cf3cf41452a8450ff1d5ca9e333,"georgia-bullen,ame-elliott,kelsey-smith",,,Publish,"March 2, 2020 → June 30, 2020",,"Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Ame Elliott (https://www.notion.so/Ame-Elliott-11293d3c60b44cf294907c80c1d930a1?pvs=21), Kelsey Smith (https://www.notion.so/Kelsey-Smith-d374a3509f184ae8beaa75ecaba2f6e1?pvs=21)",,
OTF Fellows (SUDS),,,,https://www.notion.so/c4201aedca3e4d02897573da3d6dd427,No,"Gillian: apr 20, 2015 - april 19, 2016
Maina: 01.06.2015 - 31.05.2016
Yasmina: Mar 5, 2017 - Sep 27, 2019",https://www.opentech.fund/about/people/yasmina-l%C3%B3pez/ https://www.opentech.fund/about/people/maina-korir/ https://www.opentech.fund/about/people/gus-andrews/,,,OTF SUDS | Fellows (https://www.notion.so/OTF-SUDS-Fellows-64a335558ee84f9da80293fcaace7b26?pvs=21),"Yasmina: 
As a Senior Fellow in the Supporting Usability and Design in Security Program, Yasmina collaborated with OTF and Simply Secure to conduct a yearlong research study. The initiative introduced and trained designers and developers who build Internet Freedom tools to the human-centered design methodology. By using this methodology in their development processes, they will be able to design more effective, usable, and useful tools for Internet Freedom.

Gus:
Her fellowship project will work with particular projects to identify what their usability needs are and develop solutions specific to their stage of development. These might include design workshops, metrics analysis, expert review, or more user testing. She will also be conducting an overarching research project that might be useful to a number of tool developers, as well as to the broader community of security trainers, usable-security researchers, and digital literacy educators.

Maina:
Her fellowship consists of understanding user motivation and how it can better guide secure behavior, focusing specifically on e-mail. Her research will concentrate on these three questions: (i) To what extent does a lack of user motivation contribute to the low adoption and use of secure email?, (ii) How can we motivate users to adopt and use secure e-mail?, and (iii) How can motivation be integrated effectively into the design of secure e-mail? She will focus on the link between user motivation and adoption, and test the impact of motivational interventions. The output of her research will recommend how to increase the uptake of secure e-mail for the general population.",,,paused,,"georgia-bullen,ame-elliott,sara-scout-sinclair-brody",,,Do Not Publish,"April 20, 2019 → September 18, 2019",,"Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Ame Elliott (https://www.notion.so/Ame-Elliott-11293d3c60b44cf294907c80c1d930a1?pvs=21), Sara “Scout” Sinclair Brody (https://www.notion.so/Sara-Scout-Sinclair-Brody-8b09b9ec2c054899bdfca97fd0d33548?pvs=21)",,
"Hypha (OTF, Reset.Tech, DFF, DDP & ARDC)",,,,"https://www.notion.so/03322b01dba64c9d91b895e690f107bc, https://www.notion.so/06b86917670744d78221622a6002feb5, https://www.notion.so/129573ad51ff80bbb14cc70a00614a54, https://www.notion.so/1bfe9bd4f5824211aad20d9341e3cc84, https://www.notion.so/3be03b768a6c47938589ad5bafe6bd6d, https://www.notion.so/cf1e33f4c80744c3902adada511b7af2",No,,https://www.hypha.app/,Hypha App (https://www.notion.so/Hypha-App-1d4ef932a4e14728b9d968c2f96e6984?pvs=21),https://www.hypha.app/,"Hypha Hub | OTF, Reset.Tech, DFF, DDP & ARDC, Prototype Fund (https://www.notion.so/Hypha-Hub-OTF-Reset-Tech-DFF-DDP-ARDC-Prototype-Fund-835c632d783c4484903d8c5eb87baec7?pvs=21)","Supporting and growing the OSS community around the Funder focussed open source software, 'Hypha' inclusive of managing a multi stakeholder OSS through consensus driven product management and design.",,"https://www.notion.so/00f814e7e6cf4ad0ab237f8bb3b0f417, https://www.notion.so/03322b01dba64c9d91b895e690f107bc, https://www.notion.so/06b86917670744d78221622a6002feb5, https://www.notion.so/19592344840c4b44a49922c3a9188a63, https://www.notion.so/1f468602279a4c089bd22cb1098ebae6, https://www.notion.so/28f8bc4863f647dda8886b6a1698c0fb, https://www.notion.so/3be03b768a6c47938589ad5bafe6bd6d, https://www.notion.so/46a251d92ff84e44a854861f5e257587, https://www.notion.so/794eac8183164d658476b06d53389211, https://www.notion.so/cf1e33f4c80744c3902adada511b7af2, https://www.notion.so/d5ac2df6ec764863a78ee5abf42ed6b9, https://www.notion.so/d66e575c7bd742fd96b343ddddb97ea0",current,"https://www.notion.so/13c2021ec7d843fbab66cd6e4d5f34b3, https://www.notion.so/3ad7b6c3cabc44bd958be8a3051f7fe4, https://www.notion.so/3f8c19bb1bbd4fb582fad166a638bf45, https://www.notion.so/4af0e4707b9c4ab0aca8236454890862, https://www.notion.so/6f8cb12bf7b948a3a0931515f99694bf, https://www.notion.so/917bdfb6b4544e7d8411906e2d4165c6, https://www.notion.so/92f848c334854d41850a091a8129a828, https://www.notion.so/ac4eef262e9b456297eb5571e1afa995, https://www.notion.so/b504f428bd4f41b0b6dfd7e2e1b244d4, https://www.notion.so/ebfd7e6934b34cba8157f4126924dc7c","georgia-bullen,abhishek-sharma,aaron-brunmeier,katie-wilson,ngọc-triệu,eriol-fox",,,Publish,"July 1, 2020 → June 30, 2025",,"Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Abhishek Sharma (https://www.notion.so/Abhishek-Sharma-bd149c3d7b6247aeaeed59d6fe34d797?pvs=21), Aaron Brunmeier (https://www.notion.so/Aaron-Brunmeier-4799b5ed89474273b3614c003782a3ed?pvs=21), Katie Wilson (https://www.notion.so/Katie-Wilson-e3486d686d2d4b189bc027666bd5f3b9?pvs=21), ngọc triệu (https://www.notion.so/ng-c-tri-u-6ba0a27153c64c288cf4ad6b1d7005dd?pvs=21), Eriol Fox (https://www.notion.so/Eriol-Fox-f04c9b40e6ff4e628dcb68120bc03ae9?pvs=21)",,
SecureDrop | Expert Review,,,,https://www.notion.so/e7200aac887345848040aef4b32c9df0,No,,,,,SecureDrop | Expert Review (https://www.notion.so/SecureDrop-Expert-Review-1b47e81782294f40ab6d024321fea67f?pvs=21),Expert review of SecureDrop web interface.,,,complete,,"ame-elliott,eileen-wagner",,,Publish,"January 5, 2018 → December 30, 2018",,"Ame Elliott (https://www.notion.so/Ame-Elliott-11293d3c60b44cf294907c80c1d930a1?pvs=21), Eileen Wagner (https://www.notion.so/Eileen-Wagner-921112e822a74d7b99b7b81d82a5d40c?pvs=21)",,
PREreview,,,,"https://www.notion.so/47d683f2cb0c4e45bfc97a4882dc1601, https://www.notion.so/dfdb004168864f029e00d78088b8f170",No,,,,,CS&S | PREreview Support 2020 (https://www.notion.so/CS-S-PREreview-Support-2020-db2dcc04473a44e1948994e785df027f?pvs=21),"In today’s academic circles, the peer review process is largely conducted behind closed doors by institutional gatekeepers, resulting in an opaque decision-making process that consistently disadvantages researchers from historically marginalized populations and under-resourced institutions.  We worked with PREreview to invert this power imbalance by helping to build a new open source platform that supports a more inclusive, community-oriented form of peer review based on equity, openness, and collaboration.",,https://www.notion.so/1f468602279a4c089bd22cb1098ebae6,complete,"https://www.notion.so/02634a1cef8e4d6e82b476fd374fae4b, https://www.notion.so/4f8c223b4db64ec1a480a91fd41d1bae, https://www.notion.so/c5a14cf3cf41452a8450ff1d5ca9e333","georgia-bullen,eileen-wagner,carissa-yao,vanessa-rhinesmith,katie-wilson",,,Publish,"January 1, 2020 → February 28, 2020",,"Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Eileen Wagner (https://www.notion.so/Eileen-Wagner-921112e822a74d7b99b7b81d82a5d40c?pvs=21), Carissa Yao (https://www.notion.so/Carissa-Yao-ef9034eb3251463c89f9f9dad535a644?pvs=21), Vanessa Rhinesmith (https://www.notion.so/Vanessa-Rhinesmith-19149ba5fc7e4db89ce854c295ea855d?pvs=21), Katie Wilson (https://www.notion.so/Katie-Wilson-e3486d686d2d4b189bc027666bd5f3b9?pvs=21)",,Georgia Bullen
Betterplace Lab,,,,https://www.notion.so/f6bed202945a4a01a8b35b105833cc49,No,,,,,Betterplace Lab | Demokratie.io UX Workshops (https://www.notion.so/Betterplace-Lab-Demokratie-io-UX-Workshops-fe41d2fd179a46569f847be7f5891c65?pvs=21),Orientation of Betterplace Lab’s inaugural Demokratie.io cohort on UX basics,,,complete,"https://www.notion.so/4f8c223b4db64ec1a480a91fd41d1bae, https://www.notion.so/c5a14cf3cf41452a8450ff1d5ca9e333","ame-elliott,eileen-wagner",,,Publish,"September 27, 2017",,"Ame Elliott (https://www.notion.so/Ame-Elliott-11293d3c60b44cf294907c80c1d930a1?pvs=21), Eileen Wagner (https://www.notion.so/Eileen-Wagner-921112e822a74d7b99b7b81d82a5d40c?pvs=21)",,
Video Series I (OTF),,,,https://www.notion.so/3420d613e1304e67a2f4b8dd8c98005d,No,Dates taken from Jan 19 SOW update - presumed Series 1 and 2 are in the same SOW,,,,OTF Usability Lab 1 | Video Series I - Design Spots (https://www.notion.so/OTF-Usability-Lab-1-Video-Series-I-Design-Spots-c5587b62c963445380f57676116057c8?pvs=21),Introducing HCD for the Internet Freedom space.,,"https://www.notion.so/339c03b1e82e4e1d82c2acd0b3ce2161, https://www.notion.so/9f13f4ea74594fef98d6e47c01a22ca6, https://www.notion.so/ed542864fdc34c27bc58c6ec364e9bbf",complete,https://www.notion.so/b2cc8850c29c440f90d23cb021d75ab3,"eileen-wagner,molly-wilson",,,Publish,"January 4, 2019 → March 8, 2019",,"Eileen Wagner (https://www.notion.so/Eileen-Wagner-921112e822a74d7b99b7b81d82a5d40c?pvs=21), Molly Wilson (https://www.notion.so/Molly-Wilson-4b79f4a65a504622a39ff40ff7f33782?pvs=21)",,
DITF Fellowship,,,,https://www.notion.so/c4201aedca3e4d02897573da3d6dd427,No,"Marked as a Current project but there’s an end date

Asked @Piper today for project description

TBD - HOW TO BE PUBLIC",,,,OTF | DITF Fellowship (https://www.notion.so/OTF-DITF-Fellowship-a625eee7466d4893aa77d602e5e4e7f5?pvs=21),,,,complete,,"eileen-wagner,georgia-bullen,piper-ru",,,Publish,"March 1, 2020 → May 31, 2021",,"Eileen Wagner (https://www.notion.so/Eileen-Wagner-921112e822a74d7b99b7b81d82a5d40c?pvs=21), Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Piper Ru (https://www.notion.so/Piper-Ru-0cb4265e13ac404fa204f53c63238974?pvs=21)",,Georgia Bullen
Underexposed Event Series,,,,"https://www.notion.so/75d45e4bfed34aa1bdf1e0a5223dc7d2, https://www.notion.so/b07632b18f7e4905aeb0189a52944536",No,,,,,Underexposed Event Series (https://www.notion.so/Underexposed-Event-Series-4df0bbc2cb9f4c8085f95c4063270cd7?pvs=21),"Community events around design, tech, and ethics.",,,paused,"https://www.notion.so/4f8c223b4db64ec1a480a91fd41d1bae, https://www.notion.so/6388dda4647141c8933b7ff04f7fc2cb, https://www.notion.so/917bdfb6b4544e7d8411906e2d4165c6",georgia-bullen,,,Do Not Publish,,,Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21),,
Video Series II (Adobe),,,,https://www.notion.so/d10c5b72f7494c6d930d017d03f5d82b,No,Dates taken from Jan 19 SOW update - presumed Series 1 and 2 are in the same SOW,,,,Adobe | Video Series II (Design Spots) (https://www.notion.so/Adobe-Video-Series-II-Design-Spots-4cb6bac0bdaa477582899b585e624f59?pvs=21),Understanding trust and responsibilities in design.,,https://www.notion.so/339c03b1e82e4e1d82c2acd0b3ce2161,complete,https://www.notion.so/b2cc8850c29c440f90d23cb021d75ab3,"eileen-wagner,molly-wilson",,,Publish,"January 4, 2019 → March 8, 2019",,"Eileen Wagner (https://www.notion.so/Eileen-Wagner-921112e822a74d7b99b7b81d82a5d40c?pvs=21), Molly Wilson (https://www.notion.so/Molly-Wilson-4b79f4a65a504622a39ff40ff7f33782?pvs=21)",,
Mapeo,,,,"https://www.notion.so/10fc94cd69b24209a832805f9c5bdcb8, https://www.notion.so/3420d613e1304e67a2f4b8dd8c98005d, https://www.notion.so/c609bfd13f9b4e40b3c2b2e61d7ccbd0",No,,,,,OTF Usability Lab 1 | Mapeo UX Design (https://www.notion.so/OTF-Usability-Lab-1-Mapeo-UX-Design-97cd135d07aa46a0acf535ba44fbd305?pvs=21),"We helped make Mapeo available to a wider group of users around the world, providing them with an easy way to collect, manage and report data about human rights abuses without depending on internet access that may be blocked or monitored. The ability of local groups to collaborate to collect evidence of human rights abuses combining photos, maps and key data will strengthen advocacy efforts at a national and international level.

Mapeo is an open-source toolkit designed in partnership with Indigenous communities for collaborative documentation of human rights abuses, with photos linked to geographic information and cryptographic proofs. Mapeo is resilient during censorship, blackout, and with limited or no connectivity, as data can be shared offline between devices. The local-first database does not require any setup and is embedded in the mobile and desktop apps.
",,,complete,"https://www.notion.so/02634a1cef8e4d6e82b476fd374fae4b, https://www.notion.so/2db342cbf5a04e859460740535a519d3, https://www.notion.so/3ad7b6c3cabc44bd958be8a3051f7fe4","katie-wilson,ngọc-triệu,ame-elliott,georgia-bullen",,,Publish,"July 30, 2021 → December 1, 2021",,"Katie Wilson (https://www.notion.so/Katie-Wilson-e3486d686d2d4b189bc027666bd5f3b9?pvs=21), ngọc triệu (https://www.notion.so/ng-c-tri-u-6ba0a27153c64c288cf4ad6b1d7005dd?pvs=21), Ame Elliott (https://www.notion.so/Ame-Elliott-11293d3c60b44cf294907c80c1d930a1?pvs=21), Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21)",,
Digital Future Society Barcelona,,,,https://www.notion.so/13b573ad51ff8039b103db9b91f513dc,No,"Used event dates; Updated description with more information. There is a report, but Georgia can’t find it. We’ll need to ask Molly to do some digging.",,,,Digital Future Society Barcelona (DFS) | Business Models Working Group (https://www.notion.so/Digital-Future-Society-Barcelona-DFS-Business-Models-Working-Group-6919bae6b05d4ec782423b76fe39c57d?pvs=21),"Digital Future Society hosted a working group session at the Mobile World Capital Barcelona event in 2019 business models for trust and transparency. The working group focused on data governance, digital divides, tech & sustainability, and the future of work. Simply Secure joined a working group whose aim is to produce practical recommendations geared to helping solve complex problems. Event date 25-27 September 2019, Barcelona",,,complete,"https://www.notion.so/6388dda4647141c8933b7ff04f7fc2cb, https://www.notion.so/6b980d40189d48c68622dbd69c6a42c5",molly-wilson,,,Publish,"September 25, 2019 → September 27, 2019",,Molly Wilson (https://www.notion.so/Molly-Wilson-4b79f4a65a504622a39ff40ff7f33782?pvs=21),,
Mozilla Fellows & Awards Impact Evaluation,https://simplysecure.org/blog/reflections-on-the-mozilla-fellowships-and-awards-impact-evaluation-lessons-for-the-ecosystem/,,,https://www.notion.so/a325e032e0cd4af8932322935cf907ee,No,Dates on www do not match this page,,Mozilla | Fellowships and Awards Program Evaluation and Impact Narrative (https://www.notion.so/Mozilla-Fellowships-and-Awards-Program-Evaluation-and-Impact-Narrative-75825f8b237143f8bdfa60bfe3cbf624?pvs=21),https://foundation.mozilla.org/en/what-we-fund/research/fellowships-awards-evaluation/,Mozilla Foundation | Fellows & Awards Impact Evaluation (https://www.notion.so/Mozilla-Foundation-Fellows-Awards-Impact-Evaluation-565cfba9b99f4124b9196b780434bb3c?pvs=21),"We wrote a five-year evaluation of the Mozilla Foundation's Fellowships and Awards Program, based on 40+ interviews with program alumni, funders, and stakeholders and three surveys. ",,https://www.notion.so/e8ef124c2d064d91883fc1d9edb1e31b,complete,"https://www.notion.so/01e1a2764b8a4e5085cf38f1f9c995ef, https://www.notion.so/406c23736e1043679f06ee13e5f996d1, https://www.notion.so/457fdf47f6824f8483f4028e0ba31168, https://www.notion.so/486a3dd6f28d4fe18825f17da9130839, https://www.notion.so/b504f428bd4f41b0b6dfd7e2e1b244d4","georgia-bullen,susan-kennedy,katie-wilson,nicola-pratt",Reflections on the Mozilla Fellowships and Awards Impact Evaluation: Lessons for the Ecosystem (https://www.notion.so/Reflections-on-the-Mozilla-Fellowships-and-Awards-Impact-Evaluation-Lessons-for-the-Ecosystem-155f089afe174fa6bc1cc9e3268edbd1?pvs=21),,Publish,"December 15, 2020 → October 4, 2021",,"Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Susan Kennedy (https://www.notion.so/Susan-Kennedy-f196be37d0c346008a09170099db006a?pvs=21), Katie Wilson (https://www.notion.so/Katie-Wilson-e3486d686d2d4b189bc027666bd5f3b9?pvs=21), Nicola Pratt (https://www.notion.so/Nicola-Pratt-d462e9e2f80f4e44b0a24ed362c31f1a?pvs=21)",,Katie Wilson
IDE | FOSS Evaluation,,,,https://www.notion.so/94e46717b3cc480bb20f28a7e3da396f,No,"Can’t work out dates - IDE proposal last edited July 30, 2018 @Molly Wilson please would you add project dates (ish is fine) and a project description",,,,Ford Foundation | IDE (Implicit Development Environments) FOSS Evaluation (https://www.notion.so/Ford-Foundation-IDE-Implicit-Development-Environments-FOSS-Evaluation-45ed5a9617b64fe9a8276bd89334d719?pvs=21),Evaluating the needs of FOSS communities working on digital infrastructure in the public interest,,,complete,"https://www.notion.so/4f8c223b4db64ec1a480a91fd41d1bae, https://www.notion.so/c5a14cf3cf41452a8450ff1d5ca9e333","eileen-wagner,molly-wilson",,,Publish,,,"Eileen Wagner (https://www.notion.so/Eileen-Wagner-921112e822a74d7b99b7b81d82a5d40c?pvs=21), Molly Wilson (https://www.notion.so/Molly-Wilson-4b79f4a65a504622a39ff40ff7f33782?pvs=21)",,
Funder's Toolkit (Digital Infrastructure Grant),,,,https://www.notion.so/e85cf8828da04436ad75997e184d54ae,No,"Review end date.  Date typed in had end date of March 31 2022

Marked as a Current project but there’s an end date",,DIF Building Blocks Zine  (https://www.notion.so/DIF-Building-Blocks-Zine-27054756e6bd49b691ee1ab98048dc33?pvs=21),https://miro.com/app/board/uXjVMK5_Nic=/,Open Collective Foundation | Funder's Toolkit (Digital Infrastructure Grant) (https://www.notion.so/Open-Collective-Foundation-Funder-s-Toolkit-Digital-Infrastructure-Grant-9f4a6c79cda348e6bb41c6729da26097?pvs=21),"As part of the Digital Infrastructure Grant, our team partnered with 10 regional partners to design and create the Digital Infrastructure Funders Toolkit – a global resource to help funders understand the importance of digital infrastructure support and make more impactful funding decisions in the space.",,,complete,,"susan-kennedy,ngọc-triệu,molly-wilson,georgia-bullen,eriol-fox,melissa-huerta",,,Publish,"March 1, 2021 → February 28, 2022",,"Susan Kennedy (https://www.notion.so/Susan-Kennedy-f196be37d0c346008a09170099db006a?pvs=21), ngọc triệu (https://www.notion.so/ng-c-tri-u-6ba0a27153c64c288cf4ad6b1d7005dd?pvs=21), Molly Wilson (https://www.notion.so/Molly-Wilson-4b79f4a65a504622a39ff40ff7f33782?pvs=21), Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Eriol Fox (https://www.notion.so/Eriol-Fox-f04c9b40e6ff4e628dcb68120bc03ae9?pvs=21), Melissa Huerta (https://www.notion.so/Melissa-Huerta-33995d7c148943a380c061e82f9394fc?pvs=21)",,
Tails,,,,https://www.notion.so/3420d613e1304e67a2f4b8dd8c98005d,No,,,,,OTF Usability Lab 1 | Tails Summit 2018 (https://www.notion.so/OTF-Usability-Lab-1-Tails-Summit-2018-a8bd29b224c94aefba95846bbd29b33c?pvs=21),Tails approached Simply Secure to help create an accessible explanation of how Tails works.,,,complete,,eileen-wagner,,,Publish,"May 1, 2018 → January 8, 2019",,Eileen Wagner (https://www.notion.so/Eileen-Wagner-921112e822a74d7b99b7b81d82a5d40c?pvs=21),,
NoScript,,,,https://www.notion.so/3420d613e1304e67a2f4b8dd8c98005d,No,,,,,OTF Usability Lab 1 | NoScript User Study (https://www.notion.so/OTF-Usability-Lab-1-NoScript-User-Study-994231e0f0804bf78faf4af79cb78080?pvs=21),Research and design around NoScript's UI.,,,complete,"https://www.notion.so/3ad7b6c3cabc44bd958be8a3051f7fe4, https://www.notion.so/6b980d40189d48c68622dbd69c6a42c5",eileen-wagner,,,Publish,"February 1, 2019 → November 29, 2019",,Eileen Wagner (https://www.notion.so/Eileen-Wagner-921112e822a74d7b99b7b81d82a5d40c?pvs=21),,
